"LABELS[gt,pred]",NORMAL,BMP,RA,WNT,FGF,NODAL,SHH,PCP,BOOM
NORMAL,39460,44,0,0,0,0,3254,768,0
BMP,0,31491,148,181,0,2,0,0,1932
RA,0,0,30378,0,951,0,0,681,0
WNT,0,37,0,32037,0,0,0,0,0
FGF,76,0,74,0,27007,782,0,0,112
NODAL,1736,0,0,0,1111,59611,0,0,0
SHH,2782,334,0,0,679,0,14604,4057,100
PCP,5396,361,0,458,1107,52,5262,8001,36
BOOM,1,53,0,0,11,1,0,0,78398
