"LABELS[gt,pred]",NORMAL,BMP,RA,WNT,FGF,NODAL,SHH,PCP,BOOM
NORMAL,30382,0,0,0,0,0,472,826,0
BMP,0,23754,0,132,0,0,0,0,983
RA,0,0,23537,0,700,0,219,0,0
WNT,0,0,0,28908,0,0,0,292,0
FGF,32,0,0,0,19430,46,0,0,25
NODAL,136,0,0,0,1662,37876,0,0,0
SHH,1899,109,221,442,662,0,9705,1532,110
PCP,3003,83,0,359,1203,0,1426,8795,95
BOOM,0,137,0,0,38,76,0,0,78101
